INSTNM,CITY,STABBR,ZIP,CONTROL,ADM_RATE,SAT_AVG,TUITIONFEE_IN,TUITIONFEE_OUT,UGDS,REGION,TUITION_DIFF
University of Notre Dame,Notre Dame,IN,46556,2,0.1892,1486,51505,51505,8527,3,0
Oakland City University,Oakland City,IN,47660-1099,2,0.7133,1058,23700,23700,484,3,0
Rose-Hulman Institute of Technology,Terre Haute,IN,47803-3920,2,0.6094,1369,48012,48012,2146,3,0
University of Saint Francis-Fort Wayne,Fort Wayne,IN,46808-3994,2,0.9872,1062,29430,29430,1840,3,0
Saint Mary-of-the-Woods College,Saint Mary of the Woods,IN,47876-1099,2,0.7576,999,29510,29510,631,3,0
Saint Mary's College,Notre Dame,IN,46556,2,0.7825,1201,40800,40800,1489,3,0
Taylor University,Upland,IN,46989-1001,2,0.8679,1204,32885,32885,1858,3,0
Trine University,Angola,IN,46703-1764,2,0.701,1128,31540,31540,1939,3,0
Valparaiso University,Valparaiso,IN,46383,2,0.8428,1216,38760,38760,3186,3,0
Wabash College,Crawfordsville,IN,47933-0352,2,0.6296,1199,42250,42250,862,3,0
Buena Vista University,Storm Lake,IA,50588,2,0.6385,1083,32854,32854,1692,4,0
Central College,Pella,IA,50219,2,0.7009,1161,35930,35930,1198,4,0
Clarke University,Dubuque,IA,52001-3198,2,0.6319,1118,31950,31950,757,4,0
Coe College,Cedar Rapids,IA,52402-5092,2,0.5624,1213,42430,42430,1350,4,0
Cornell College,Mount Vernon,IA,52314-1098,2,0.6503,1245,40880,40880,1004,4,0
Dordt College,Sioux Center,IA,51250-1697,2,0.7207,1210,30000,30000,1353,4,0
Drake University,Des Moines,IA,50311-4505,2,0.688,1285,39062,39062,3038,4,0
University of Dubuque,Dubuque,IA,52001,2,0.7416,992,29710,29710,1955,4,0
Emmaus Bible College,Dubuque,IA,52001-3096,2,0.5751,1133,17520,17520,254,4,0
Faith Baptist Bible College and Theological Seminary,Ankeny,IA,50023-2152,2,0.6,1118,16766,16766,256,4,0
Graceland University-Lamoni,Lamoni,IA,50140,2,0.5614,1029,28110,28110,1208,4,0
Grand View University,Des Moines,IA,50316,2,0.9268,1043,26516,26516,1753,4,0
Grinnell College,Grinnell,IA,50112-1690,2,0.2887,1449,50714,50714,1660,4,0
Iowa State University,Ames,IA,50011-2103,1,0.8934,1221,8636,22472,30116,4,13836
Iowa Wesleyan University,Mount Pleasant,IA,52641,2,0.5001,995,24600,30500,602,4,5900
University of Iowa,Iowa City,IA,52242-1316,1,0.8604,1232,8965,30609,23349,4,21644
Loras College,Dubuque,IA,52004-0178,2,0.9509,1144,32886,32886,1362,4,0
Luther College,Decorah,IA,52101-1045,2,0.6509,1222,41020,41020,2008,4,0
Mercy College of Health Sciences,Des Moines,IA,50309-1239,2,0.959,1030,17600,17600,755,4,0
Morningside College,Sioux City,IA,51106-1751,2,0.5518,1125,30490,30490,1270,4,0
Mount Mercy University,Cedar Rapids,IA,52402-4797,2,0.5724,1085,30582,30582,1502,4,0
University of Northern Iowa,Cedar Falls,IA,50614-0005,1,0.8083,1166,8699,19241,9686,4,10542
Northwestern College,Orange City,IA,51041,2,0.681,1172,30200,30200,1014,4,0
Saint Ambrose University,Davenport,IA,52803-2898,2,0.6081,1165,30016,30016,2354,4,0
Simpson College,Indianola,IA,50125,2,0.8386,1178,37663,37663,1406,4,0
Upper Iowa University,Fayette,IA,52142-1857,2,0.5558,1041,29600,29600,4058,4,0
Wartburg College,Waverly,IA,50677-0903,2,0.769,1170,39730,39730,1493,4,0
William Penn University,Oskaloosa,IA,52577,2,0.5379,963,25000,25000,1184,4,0
Baker University,Baldwin City,KS,66006-0065,2,0.8571,1137,28960,28960,1465,4,0
Benedictine College,Atchison,KS,66002-1499,2,0.9747,1215,28480,28480,1826,4,0
Bethany College,Lindsborg,KS,67456-1897,2,0.6664,1027,26922,26922,710,4,0
Central Christian College of Kansas,McPherson,KS,67460-5740,2,0.3933,1008,17240,17240,768,4,0
Emporia State University,Emporia,KS,66801-5415,1,0.8275,1105,6345,19918,3499,4,13573
Friends University,Wichita,KS,67213,2,0.4801,1100,27565,27565,1110,4,0
Haskell Indian Nations University,Lawrence,KS,66046-4800,1,0.8157,950,480,480,806,4,0
University of Kansas,Lawrence,KS,66045,1,0.9338,1230,10824,26592,18903,4,15768
Newman University,Wichita,KS,67213-2097,2,0.6384,1107,29200,29200,1103,4,0
Kansas Wesleyan University,Salina,KS,67401-6196,2,0.5365,1065,28980,28980,671,4,0
Manhattan Christian College,Manhattan,KS,66502-4801,2,0.6432,1079,15418,15418,282,4,0
McPherson College,McPherson,KS,67460-1402,2,0.4847,1105,27823,27823,688,4,0
MidAmerica Nazarene University,Olathe,KS,66062-1899,2,0.6562,1064,29670,29670,1215,4,0
Ottawa University-Ottawa,Ottawa,KS,66067-3399,2,0.8045,1027,28550,28550,670,4,0
Pittsburg State University,Pittsburg,KS,66762,1,0.8721,1105,7100,18152,5340,4,11052
University of Saint Mary,Leavenworth,KS,66048-5082,2,0.4915,1078,27720,27720,744,4,0
Southwestern College,Winfield,KS,67156-6224,2,0.9688,1019,28750,28750,1096,4,0
Sterling College,Sterling,KS,67579,2,0.5247,1018,24985,24985,612,4,0
Tabor College,Hillsboro,KS,67063-1799,2,0.5318,1048,27220,27220,632,4,0
Wichita State University,Wichita,KS,67260-0124,1,0.938,1159,8432,17390,10970,4,8958
Alice Lloyd College,Pippa Passes,KY,41844,2,0.2567,1043,11550,11550,598,5,0
Asbury University,Wilmore,KY,40390-1198,2,0.7032,1178,29500,29500,1610,5,0
Bellarmine University,Louisville,KY,40205-0671,2,0.8925,1189,40750,40750,2474,5,0
Berea College,Berea,KY,40404-2182,2,0.3509,1188,25760,25760,1610,5,0
Brescia University,Owensboro,KY,42301-3023,2,0.424,1065,21550,21550,911,5,0
Campbellsville University,Campbellsville,KY,42718-2799,2,0.6859,1061,25400,25400,2365,5,0
Centre College,Danville,KY,40422-1394,2,0.7632,1334,40500,40500,1441,5,0
University of the Cumberlands,Williamsburg,KY,40769,2,0.7436,1092,23000,23000,2085,5,0
Eastern Kentucky University,Richmond,KY,40475-3102,1,0.8737,1123,9366,18250,12750,5,8884
Georgetown College,Georgetown,KY,40324-1696,2,0.6733,1145,37160,37160,1029,5,0
Kentucky Mountain Bible College,Jackson,KY,41339,2,0.5,1045,7760,7760,75,5,0
Kentucky State University,Frankfort,KY,40601-2355,1,0.4528,982,8184,19638,1349,5,11454
Kentucky Wesleyan College,Owensboro,KY,42301,2,0.5846,1114,25070,25070,688,5,0
University of Kentucky,Lexington,KY,40506-0032,1,0.9577,1213,11942,28046,22078,5,16104
Kentucky Christian University,Grayson,KY,41143-1199,2,0.4021,1029,19256,19256,477,5,0
University of Louisville,Louisville,KY,40292-0001,1,0.753,1211,11264,26286,14550,5,15022
Midway University,Midway,KY,40347-1120,2,0.567,1050,23950,23950,989,5,0
Morehead State University,Morehead,KY,40351,1,0.7962,1144,8950,13426,6410,5,4476
Murray State University,Murray,KY,42071-3318,1,0.8667,1173,8820,23820,7218,5,15000
Northern Kentucky University,Highland Heights,KY,41099,1,0.9038,1142,9744,19104,10728,5,9360
University of Pikeville,Pikeville,KY,41501,2,1,1038,20338,20338,1088,5,0
The Southern Baptist Theological Seminary,Louisville,KY,40280-0001,2,0.7811,1105,18860,18860,873,5,0
Spalding University,Louisville,KY,40203-2188,2,0.5899,1046,24000,24000,1080,5,0
Thomas More College,Crestview Hills,KY,41017-3495,2,0.9123,1081,30270,30270,1399,5,0
Union College,Barbourville,KY,40906-1499,2,0.6347,1025,26080,26080,984,5,0
Western Kentucky University,Bowling Green,KY,42101-1000,1,0.9545,1136,10202,25512,14529,5,15310
Centenary College of Louisiana,Shreveport,LA,71134-1188,2,0.6179,1193,35900,35900,525,5,0
Dillard University,New Orleans,LA,70122,2,0.4081,1009,17917,17917,1290,5,0
Louisiana State University-Alexandria,Alexandria,LA,71302-9121,1,0.3107,1026,6668,14024,2662,5,7356
Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,70803-2750,1,0.7392,1226,11374,28051,23331,5,16677
Louisiana State University-Shreveport,Shreveport,LA,71115-2399,1,0.8384,1080,7166,20320,2237,5,13154
Louisiana College,Pineville,LA,71359,2,0.7192,1087,16000,16000,935,5,0
Louisiana Tech University,Ruston,LA,71272,1,0.6484,1195,9645,18558,8277,5,8913
Loyola University New Orleans,New Orleans,LA,70118-6143,2,0.6911,1203,39492,39492,2534,5,0
McNeese State University,Lake Charles,LA,70605,1,0.6224,1124,7920,15958,5956,5,8038
University of New Orleans,New Orleans,LA,70148,1,0.5661,1126,8484,13320,5917,5,4836
Nicholls State University,Thibodaux,LA,70310,1,0.9374,1104,7886,8979,5401,5,1093
University of Louisiana at Monroe,Monroe,LA,71209-0000,1,0.7546,1124,8470,20570,6121,5,12100
Northwestern State University of Louisiana,Natchitoches,LA,71497-0002,1,0.8029,1083,7921,18710,7994,5,10789
University of Holy Cross,New Orleans,LA,70131-7399,2,0.4615,1030,13220,13220,743,5,0
Franciscan Missionaries of Our Lady University,Baton Rouge,LA,70808,2,0.4844,1085,12764,12764,1168,5,0
Southeastern Louisiana University,Hammond,LA,70402,1,0.8834,1085,8153,20631,10929,5,12478
Southern University and A & M College,Baton Rouge,LA,70813,1,0.4547,988,8666,18080,5137,5,9414
Southern University at New Orleans,New Orleans,LA,70126,1,0.2467,890,6421,15322,1899,5,8901
University of Louisiana at Lafayette,Lafayette,LA,70503,1,0.5087,1162,9888,23616,14753,5,13728
Tulane University of Louisiana,New Orleans,LA,70118-5698,2,0.215,1442,52960,52960,7871,5,0
Xavier University of Louisiana,New Orleans,LA,70125-1098,2,0.6408,1126,23606,23606,2266,5,0
Maine College of Health Professions,Lewiston,ME,4240,2,0.8182,920,11506,11506,188,1,0
Colby College,Waterville,ME,04901-8840,2,0.1579,1444,53120,53120,1917,1,0
University of Maine at Fort Kent,Fort Kent,ME,04743-1292,1,0.972,996,7965,12075,1036,1,4110
University of Maine,Orono,ME,4469,1,0.9226,1157,10902,30282,8836,1,19380
Maine Maritime Academy,Castine,ME,04420-0001,1,0.7961,1083,13278,26628,1018,1,13350
University of New England,Biddeford,ME,04005-9599,2,0.8074,1128,36530,36530,2360,1,0
University of Southern Maine,Portland,ME,4103,1,0.8348,1059,8638,20594,5248,1,11956
University of Baltimore,Baltimore,MD,21201-5720,1,0.8099,999,8824,20704,2856,2,11880
Bowie State University,Bowie,MD,20715-9465,1,0.36,950,8064,18653,5107,2,10589
Capitol Technology University,Laurel,MD,20708,2,0.7473,1062,24788,24788,421,2,0
Washington Adventist University,Takoma Park,MD,20912,2,0.6139,957,23400,23400,750,2,0
Coppin State University,Baltimore,MD,21216-3698,1,0.3651,930,7474,13622,2459,2,6148
Frostburg State University,Frostburg,MD,21532-1099,1,0.7229,1017,8914,22262,4486,2,13348
Johns Hopkins University,Baltimore,MD,21218-2688,2,0.1254,1524,52170,52170,5663,2,0
University of Maryland-Baltimore County,Baltimore,MD,21250,1,0.6021,1255,11518,25654,11130,2,14136
University of Maryland-College Park,College Park,MD,20742,1,0.445,1396,10399,33606,29273,2,23207
Maryland Institute College of Art,Baltimore,MD,21217-4134,2,0.6161,1203,46990,46990,1743,2,0
University of Maryland Eastern Shore,Princess Anne,MD,21853-1299,1,0.3901,950,8042,18048,2799,2,10006
Morgan State University,Baltimore,MD,21251-0001,1,0.6372,977,7766,17832,6426,2,10066
Mount St. Mary's University,Emmitsburg,MD,21727-7799,2,0.6423,1085,40550,40550,1785,2,0
Notre Dame of Maryland University,Baltimore,MD,21210-2476,2,0.714,993,36070,36070,808,2,0
St. Mary's College of Maryland,St. Mary's City,MD,20686,1,0.8242,1190,14496,29948,1544,2,15452
St. John's College,Annapolis,MD,21401,2,0.5445,1365,51795,51795,458,2,0
Towson University,Towson,MD,21252-0001,1,0.773,1136,9694,22140,19367,2,12446
United States Naval Academy,Annapolis,MD,21402-5000,1,0.0844,1260,0,0,4495,0,0
Stevenson University,Stevenson,MD,21153-0641,2,0.6087,1097,35490,35490,3375,2,0
McDaniel College,Westminster,MD,21157,2,0.85,1161,41800,41800,1562,2,0
American International College,Springfield,MA,1109,2,0.7183,997,34470,34470,1336,1,0
Amherst College,Amherst,MA,01002-5000,2,0.129,1497,54310,54310,1835,1,0
Babson College,Babson Park,MA,02457-0310,2,0.2418,1347,49664,49664,2342,1,0
Boston Baptist College,Boston,MA,02136-4030,2,0.7308,970,12600,12600,63,1,0
Bay Path University,Longmeadow,MA,1106,2,0.6286,1086,33557,33557,1944,1,0
Becker College,Worcester,MA,01609-2165,2,0.6941,1078,38250,38250,1800,1,0
Bentley University,Waltham,MA,02452-4705,2,0.4415,1319,48000,48000,4203,1,0
Boston College,Chestnut Hill,MA,2467,2,0.3241,1434,53346,53346,9636,1,0
Boston University,Boston,MA,2215,2,0.2511,1401,52082,52082,16716,1,0
Brandeis University,Waltham,MA,02454-9110,2,0.3422,1403,53537,53537,3624,1,0
Bridgewater State University,Bridgewater,MA,2325,1,0.8036,1070,10012,16152,9390,1,6140
Curry College,Milton,MA,02186-2395,2,0.9005,1018,38936,38936,2535,1,0
Dean College,Franklin,MA,02038-1941,2,0.8607,1002,38090,38090,1260,1,0
Eastern Nazarene College,Quincy,MA,02170-2999,2,0.6776,1049,31780,31780,693,1,0
Emerson College,Boston,MA,02116-4624,2,0.4606,1299,44832,44832,3799,1,0
Emmanuel College,Boston,MA,2115,2,0.7299,1183,38844,38844,1848,1,0
Fitchburg State University,Fitchburg,MA,01420-2697,1,0.8004,1056,10155,16235,4040,1,6080
Framingham State University,Framingham,MA,01701-9101,1,0.6811,1043,9920,16000,3963,1,6080
Gordon College,Wenham,MA,1984,2,0.8889,1189,36740,36740,1573,1,0
Harvard University,Cambridge,MA,2138,2,0.0516,1523,48949,48949,7532,1,0
Hellenic College-Holy Cross Greek Orthodox School of Theology,Brookline,MA,02445-7415,2,1,1142,22490,22490,77,1,0
Lasell College,Newton,MA,2466,2,0.8072,1069,34600,34600,1696,1,0
Lesley University,Cambridge,MA,02138-2790,2,0.7261,1123,26675,26675,2074,1,0
University of Massachusetts-Lowell,Lowell,MA,01854-5104,1,0.6883,1227,14800,31865,13284,1,17065
University of Massachusetts-Amherst,Amherst,MA,1003,1,0.5758,1288,15411,33477,23010,1,18066
University of Massachusetts-Boston,Boston,MA,02125-3393,1,0.7515,1134,13828,32985,12159,1,19157
MCPHS University,Boston,MA,02115-5896,2,0.8386,1169,32590,32590,3837,1,0
Massachusetts Institute of Technology,Cambridge,MA,02139-4307,2,0.0717,1532,49892,49892,4489,1,0
Massachusetts Maritime Academy,Buzzards Bay,MA,02532-1803,1,0.8317,1122,8398,25824,1627,1,17426
Mount Holyoke College,South Hadley,MA,01075-1489,2,0.5084,1393,47940,47940,2186,1,0
Massachusetts College of Liberal Arts,North Adams,MA,01247-4100,1,0.7663,1085,10135,19080,1364,1,8945
Northeastern University,Boston,MA,02115-5005,2,0.2744,1482,49497,49497,13666,1,0
College of Our Lady of the Elms,Chicopee,MA,1013,2,0.7949,1033,34578,34578,1142,1,0
Salem State University,Salem,MA,1970,1,0.8191,1066,10278,16706,6776,1,6428
Simmons University,Boston,MA,02115-5898,2,0.6044,1227,39600,39600,1708,1,0
Springfield College,Springfield,MA,01109-3797,2,0.6989,1148,36535,36535,2204,1,0
University of Massachusetts-Dartmouth,North Dartmouth,MA,02747-2300,1,0.8427,1097,13571,28285,6559,1,14714
Suffolk University,Boston,MA,02108-3901,2,0.8355,1102,37270,37270,4952,1,0
Tufts University,Medford,MA,02155-5555,2,0.1491,1482,54318,54318,5492,1,0
Wellesley College,Wellesley,MA,02481-8203,2,0.2208,1448,51148,51148,2375,1,0
Wentworth Institute of Technology,Boston,MA,2115,2,0.9187,1181,34977,34977,4204,1,0
Western New England University,Springfield,MA,01119-2684,2,0.8071,1096,35740,35740,2723,1,0
Westfield State University,Westfield,MA,01086-1630,1,0.8525,1064,9715,15795,5375,1,6080
Wheaton College,Norton,MA,02766-2322,2,0.4789,1270,50850,50850,1678,1,0
Wheelock College,Boston,MA,2215,2,0.7726,879,36350,36350,603,1,0
Williams College,Williamstown,MA,1267,2,0.1458,1493,53550,53550,2033,1,0
Adrian College,Adrian,MI,49221-2575,2,0.5973,1070,36010,36010,1609,3,0
Albion College,Albion,MI,49224,2,0.706,1123,43050,43050,1558,3,0
Alma College,Alma,MI,48801-1599,2,0.64,1140,38768,38768,1392,3,0
Andrews University,Berrien Springs,MI,49104,2,0.5766,1203,28436,28436,1439,3,0
Aquinas College,Grand Rapids,MI,49506-1801,2,0.7451,1143,31244,31244,1434,3,0
Calvin College,Grand Rapids,MI,49546,2,0.8348,1243,33100,33100,3656,3,0
Central Michigan University,Mount Pleasant,MI,48859,1,0.6775,1125,12510,23670,17489,3,11160
Cleary University,Howell,MI,48843,2,0.4774,1017,19700,19700,519,3,0
Concordia University-Ann Arbor,Ann Arbor,MI,48105,2,0.4569,1085,28420,28420,815,3,0
College for Creative Studies,Detroit,MI,48202,2,0.4899,1149,42460,42460,1347,3,0
University of Detroit Mercy,Detroit,MI,48221-3038,2,0.6471,1163,41158,41158,2674,3,0
Eastern Michigan University,Ypsilanti,MI,48197,1,0.4474,1046,12019,29200,16536,3,17181
Ferris State University,Big Rapids,MI,49307-2251,1,0.7416,1069,11628,18588,11549,3,6960
Kettering University,Flint,MI,48504-6214,2,0.7033,1270,42490,42490,1850,3,0
Cornerstone University,Grand Rapids,MI,49525-5897,2,0.6737,1069,27520,27520,1681,3,0
Grand Valley State University,Allendale,MI,49401-9403,1,0.809,1150,11994,17064,21837,3,5070
Hope College,Holland,MI,49422-9000,2,0.7363,1240,32780,32780,3029,3,0
Kalamazoo College,Kalamazoo,MI,49006-3295,2,0.7338,1306,46840,46840,1415,3,0
Lake Superior State University,Sault Ste Marie,MI,49783,1,0.5816,1148,11427,11427,1912,3,0
Lawrence Technological University,Southfield,MI,48075-1058,2,0.5964,1163,32190,32190,2191,3,0
Madonna University,Livonia,MI,48150-1176,2,0.7433,1053,20700,20700,2291,3,0
Marygrove College,Detroit,MI,48221-2599,2,0.4098,1021,22750,22750,283,3,0
Rochester College,Rochester Hills,MI,48307,2,1,997,22312,22312,987,3,0
University of Michigan-Ann Arbor,Ann Arbor,MI,48109,1,0.265,1436,14826,47476,29550,3,32650
Michigan State University,East Lansing,MI,48824-1046,1,0.7155,1220,14460,39406,38770,3,24946
Michigan Technological University,Houghton,MI,49931-1295,1,0.7449,1277,15074,32318,5829,3,17244
University of Michigan-Dearborn,Dearborn,MI,48128-1491,1,0.6428,1187,12472,24706,6961,3,12234
University of Michigan-Flint,Flint,MI,48502-1950,1,0.6512,1092,10842,21165,5669,3,10323
Northern Michigan University,Marquette,MI,49855-5301,1,0.7437,1082,10240,15736,6635,3,5496
Northwood University,Midland,MI,48640-2398,2,0.6927,1095,26080,26080,2880,3,0
Oakland University,Rochester Hills,MI,48309-4401,1,0.8441,1141,11970,23873,15562,3,11903
Kuyper College,Grand Rapids,MI,49525-9781,2,0.6614,1092,21090,21090,180,3,0
Saginaw Valley State University,University Center,MI,48710,1,0.7384,1101,9819,23063,7498,3,13244
Spring Arbor University,Spring Arbor,MI,49283-9799,2,0.6702,1118,27750,27750,1835,3,0
Finlandia University,Hancock,MI,49930-1832,2,0.3564,966,22758,22758,365,3,0
Wayne State University,Detroit,MI,48202,1,0.6741,1134,12729,27203,16768,3,14474
Western Michigan University,Kalamazoo,MI,49008-5200,1,0.8232,1103,11943,14699,17704,3,2756
Augsburg University,Minneapolis,MN,55454,2,0.6458,1085,37615,37615,2405,4,0
Bemidji State University,Bemidji,MN,56601,1,0.662,1105,8677,8677,4399,4,0
Bethany Lutheran College,Mankato,MN,56001,2,0.7912,1126,26830,26830,523,4,0
Bethel University,Saint Paul,MN,55112,2,0.835,1181,36210,36210,2777,4,0
Carleton College,Northfield,MN,55057-4001,2,0.212,1469,52782,52782,2023,4,0
Concordia College at Moorhead,Moorhead,MN,56562,2,0.616,1213,38378,38378,1980,4,0
Martin Luther College,New Ulm,MN,56073-3965,2,0.7061,1194,14680,14680,797,4,0
Hamline University,Saint Paul,MN,55104-1284,2,0.6911,1145,40332,40332,2132,4,0
Macalester College,Saint Paul,MN,55105-1899,2,0.4058,1405,52464,52464,2116,4,0
Minnesota State University-Mankato,Mankato,MN,56001,1,0.6096,1105,8164,16216,11966,4,8052
University of Minnesota-Twin Cities,Minneapolis,MN,55455-0213,1,0.4959,1349,14417,26603,31535,4,12186
University of Minnesota-Crookston,Crookston,MN,56716-5001,1,0.687,1082,11814,11814,1797,4,0
Minneapolis College of Art and Design,Minneapolis,MN,55404,2,0.5853,1141,37812,37812,675,4,0
University of Minnesota-Duluth,Duluth,MN,55812,1,0.7661,1185,13344,18462,9199,4,5118
University of Minnesota-Morris,Morris,MN,56267,1,0.6378,1219,13072,15092,1554,4,2020
Minnesota State University Moorhead,Moorhead,MN,56563,1,0.6039,1123,8468,15878,4834,4,7410
North Central University,Minneapolis,MN,55404-1391,2,0.9074,1118,23480,23480,893,4,0
University of Northwestern-St Paul,Saint Paul,MN,55113-1598,2,0.934,1174,30794,30794,1827,4,0
College of Saint Benedict,Saint Joseph,MN,56374,2,0.8058,1208,43738,43738,1937,4,0
Saint Cloud State University,Saint Cloud,MN,56301-4498,1,0.8578,1065,8228,16462,9676,4,8234
Saint Johns University,Collegeville,MN,56321,2,0.8023,1187,43356,43356,1720,4,0
Saint Mary's University of Minnesota,Winona,MN,55987-1399,2,0.6438,1122,33560,33560,1471,4,0
St Olaf College,Northfield,MN,55057-1098,2,0.4322,1312,46000,46000,3004,4,0
Crown College,Saint Bonifacius,MN,55375-9001,2,0.512,1066,25430,25430,853,4,0
The College of Saint Scholastica,Duluth,MN,55811-4199,2,0.6825,1141,36212,36212,2626,4,0
University of St Thomas,Saint Paul,MN,55105-1078,2,0.8416,1267,41133,41133,6085,4,0
St Catherine University,Saint Paul,MN,55105,2,0.7013,1146,38170,38170,3100,4,0
Southwest Minnesota State University,Marshall,MN,56258-5468,1,0.6163,1065,8610,8610,2133,4,0
Winona State University,Winona,MN,55987-5838,1,0.665,1125,9379,15302,7308,4,5923
Alcorn State University,Alcorn State,MS,39096-7500,1,0.7861,1005,6888,6888,3172,5,0
Blue Mountain College,Blue Mountain,MS,38610-9509,2,0.9952,1047,11760,11760,587,5,0
Delta State University,Cleveland,MS,38733,1,0.8692,1047,6859,6859,2360,5,0
Jackson State University,Jackson,MS,39217,1,0.7173,990,7621,18314,6467,5,10693
Millsaps College,Jackson,MS,39210-0001,2,0.4895,1215,38930,38930,801,5,0
University of Mississippi,University,MS,38677-1848,1,0.8391,1225,8300,23564,18537,5,15264
Mississippi University for Women,Columbus,MS,39701,1,0.9802,1046,6614,18155,2302,5,11541
Mississippi Valley State University,Itta Bena,MS,38941-1400,1,0.8628,930,6422,6422,1713,5,0
Mississippi College,Clinton,MS,39058,2,0.3903,1229,17392,17392,3041,5,0
Mississippi State University,Mississippi State,MS,39762,1,0.624,1195,8318,22358,17723,5,14040
University of Southern Mississippi,Hattiesburg,MS,39406-0001,1,0.9843,1125,8218,10218,11747,5,2000
Tougaloo College,Tougaloo,MS,39174,2,0.7472,1025,10600,10600,789,5,0
William Carey University,Hattiesburg,MS,39401-5499,2,0.4882,1179,12300,12300,2086,5,0
Avila University,Kansas City,MO,64145-1698,2,0.3886,1060,28020,28020,1229,4,0
Calvary University,Kansas City,MO,64147-1341,2,0.7436,1041,11152,11152,222,4,0
Central Christian College of the Bible,Moberly,MO,65270-1997,2,0.2135,960,13900,13900,226,4,0
Central Methodist University-College of Liberal Arts and Sciences,Fayette,MO,65248-1198,2,0.9561,1121,23770,23770,1059,4,0
University of Central Missouri,Warrensburg,MO,64093,1,0.836,1105,7520,14150,8589,4,6630
Conception Seminary College,Conception,MO,64433-0502,2,1,1061,21526,21526,67,4,0
Cottey College,Nevada,MO,64772,2,0.6409,1053,20200,20200,265,4,0
Culver-Stockton College,Canton,MO,63435-1299,2,0.5466,1040,26040,26040,1029,4,0
Drury University,Springfield,MO,65802-3791,2,0.6608,1226,27015,27015,2971,4,0
Evangel University,Springfield,MO,65802-2125,2,0.9935,1102,22745,22745,1627,4,0
Fontbonne University,Saint Louis,MO,63105-3098,2,0.9236,1145,25460,25460,874,4,0
Kansas City Art Institute,Kansas City,MO,64111-1874,2,0.6719,1158,37800,37800,659,4,0
Lindenwood University,Saint Charles,MO,63301-1695,2,0.7375,1097,16960,16960,6807,4,0
Logan University,Chesterfield,MO,63017,2,1,977,6860,6860,98,4,0
Maryville University of Saint Louis,Saint Louis,MO,63141-7299,2,0.9188,1176,28470,28470,3112,4,0
Midwestern Baptist Theological Seminary,Kansas City,MO,64118-4697,2,0.9455,1125,7810,7810,417,4,0
Missouri Baptist University,Saint Louis,MO,63141-8698,2,0.545,1041,26020,26020,1819,4,0
Missouri Southern State University,Joplin,MO,64801-1595,1,0.9508,1085,6067,11568,5426,4,5501
University of Missouri-Columbia,Columbia,MO,65211-1050,1,0.7809,1249,9787,26506,23455,4,16719
University of Missouri-Kansas City,Kansas City,MO,64110,1,0.6415,1197,8011,19793,7854,4,11782
Missouri University of Science and Technology,Rolla,MO,65409,1,0.8351,1323,9246,25918,6872,4,16672
University of Missouri-St Louis,Saint Louis,MO,63121-4400,1,0.7594,1197,9590,25505,7362,4,15915
Truman State University,Kirksville,MO,63501-4221,1,0.67490000000000006,1291,7656,14440,5241,4,6784
Northwest Missouri State University,Maryville,MO,64468-6001,1,0.7411,1124,7657,12908,5065,4,5251
Ozark Christian College,Joplin,MO,64801,2,0.4922,1107,12720,12720,577,4,0
College of the Ozarks,Point Lookout,MO,65726-0017,2,0.1348,1165,19130,19130,1491,4,0
Rockhurst University,Kansas City,MO,64110-2561,2,0.7246,1198,36590,36590,1623,4,0
Saint Louis University,Saint Louis,MO,63103-2097,2,0.6443,1319,42166,42166,7209,4,0
Saint Louis Christian College,Florissant,MO,63033,2,0.24,950,11610,11610,78,4,0
St. Louis College of Pharmacy,Saint Louis,MO,63110-1088,2,0.7202,1246,29451,29451,448,4,0
Southwest Baptist University,Bolivar,MO,65613-2596,2,0.732,1136,23358,23358,2252,4,0
Stephens College,Columbia,MO,65215,2,0.5311,1099,30344,30344,647,4,0
Southeast Missouri State University,Cape Girardeau,MO,63701,1,0.8455,1145,7185,12720,8910,4,5535
Missouri State University-Springfield,Springfield,MO,65897,1,0.8404,1164,7306,14746,17371,4,7440
Washington University in St Louis,Saint Louis,MO,63130-4899,2,0.1596,1508,51533,51533,7253,4,0
Webster University,Saint Louis,MO,63119-3194,2,0.5356,1164,27100,27100,2954,4,0
Westminster College,Fulton,MO,65251-1299,2,0.9014,1162,25940,25940,764,4,0
William Jewell College,Liberty,MO,64068-1896,2,0.4763,1226,33620,33620,928,4,0
William Woods University,Fulton,MO,65251-1098,2,0.7486,1141,23260,23260,919,4,0
Carroll College,Helena,MT,59625-0002,2,0.7781,1199,34480,34480,1309,7,0
Montana Technological University,Butte,MT,59701-8997,1,0.9238,1201,7125,21956,1640,7,14831
Montana State University,Bozeman,MT,59717,1,0.8311,1195,7079,24071,14383,7,16992
The University of Montana,Missoula,MT,59812,1,0.9264,1165,7063,24943,8958,7,17880
Rocky Mountain College,Billings,MT,59102-1796,2,0.6438,1099,27566,27566,884,7,0
The University of Montana-Western,Dillon,MT,59725-3598,1,0.6074,999,5502,16716,1397,7,11214
Clarkson College,Omaha,NE,68131-2739,2,0.6207,1125,16290,16290,678,4,0
Bryan College of Health Sciences,Lincoln,NE,68506,2,0.5234,1125,15190,15190,552,4,0
Concordia University-Nebraska,Seward,NE,68434-1556,2,0.7495,1134,31000,31000,1233,4,0
